t_us,x_gal,y_gal,z_gal
476083058,-6.48416,-18.03639,983.28141
476093058,-6.26057,-18.11092,982.75970
476103058,-6.48416,-18.18545,982.83423
476113058,-6.33510,-17.88733,982.90876
476123058,-6.70775,-17.88733,982.98329
476133058,-6.55869,-18.03639,982.98329
476143058,-6.55869,-18.03639,982.75970
476153058,-6.40963,-18.18545,983.13235
476163058,-6.48416,-18.03639,982.98329
476173058,-6.48416,-18.25998,983.13235
476183058,-6.48416,-17.96186,982.68517
476193058,-6.63322,-18.25998,982.98329
476203058,-6.26057,-18.18545,982.68517
476213058,-6.40963,-18.25998,982.98329
476223058,-6.55869,-17.88733,982.68517
476233058,-6.40963,-18.18545,983.28141
476243058,-6.26057,-17.96186,982.98329
476253058,-6.40963,-18.03639,982.53611
476263058,-6.40963,-17.88733,982.68517
476273058,-6.55869,-17.96186,982.98329
476283058,-6.70775,-18.11092,982.68517
476293058,-6.55869,-18.11092,982.90876
476303058,-6.26057,-17.88733,982.75970
476313058,-6.48416,-17.73827,982.98329
476323058,-6.55869,-18.03639,982.98329
476333058,-6.40963,-17.81280,982.75970
476343058,-6.48416,-17.88733,982.90876
476353058,-6.63322,-17.88733,982.90876
476363058,-6.18603,-17.81280,982.83423
476373058,-6.40963,-18.03639,982.90876
476383058,-6.85681,-18.11092,983.13235
476393058,-6.48416,-18.03639,982.75970
476403058,-6.48416,-18.11092,982.83423
476413058,-6.40963,-18.11092,983.13235
476423058,-6.70775,-18.63264,983.05782
476433058,-6.70775,-17.66374,984.47390
476443058,-6.26057,-17.88733,982.31252
476453058,-6.55869,-18.11092,983.20688
476463058,-6.70775,-18.03639,982.31252
476473058,-6.63322,-18.63264,983.87766
476483058,-6.26057,-17.58921,982.46158
476493058,-6.55869,-18.25998,982.90876
476503058,-6.63322,-17.81280,983.13235
476513058,-6.78228,-18.55810,983.43048
476523058,-6.26057,-18.11092,983.28141
476533058,-6.40963,-17.96186,982.31252
476543058,-6.33510,-18.11092,982.90876
476553058,-6.55869,-18.25998,982.98329
476563058,-6.18603,-18.18545,982.53611
476573058,-6.26057,-17.88733,982.38705
476583058,-6.85681,-18.25998,983.72860
476593058,-6.33510,-18.25998,983.80313
476603058,-6.48416,-17.96186,983.05782
476613058,-6.55869,-17.81280,982.46158
476623058,-6.48416,-18.25998,982.61064
476633058,-6.26057,-18.11092,983.43048
476643058,-6.40963,-18.25998,982.98329
476653058,-6.26057,-18.03639,983.05782
476663058,-6.40963,-18.03639,983.20688
476673058,-6.55869,-18.33451,983.05782
476683058,-6.55869,-18.25998,982.53611
476693058,-6.78228,-17.96186,982.83423
476703058,-6.63322,-17.96186,982.68517
476713058,-6.40963,-18.03639,983.13235
476723058,-6.40963,-18.03639,982.98329
476733058,-6.48416,-17.96186,982.90876
476743058,-6.40963,-18.03639,982.68517
476753058,-6.40963,-18.25998,983.13235
476763058,-6.40963,-18.11092,982.83423
476773058,-6.70775,-17.73827,982.90876
476783058,-6.55869,-17.96186,982.90876
476793058,-6.63322,-18.18545,982.61064
476803058,-6.70775,-18.11092,983.05782
476813058,-6.40963,-18.03639,982.83423
476823058,-6.55869,-17.73827,983.20688
476833058,-6.70775,-18.03639,982.98329
476843058,-6.48416,-17.73827,982.68517
476853058,-6.55869,-17.44015,983.20688
476863058,-6.48416,-18.11092,982.68517
476873058,-6.40963,-17.73827,980.97097
476883058,-6.63322,-17.58921,984.32484
