t_us,x_gal,y_gal,z_gal
12993058,-6.63322,-17.96186,983.28141
13003058,-6.33510,-18.11092,982.98329
13013058,-6.33510,-18.11092,982.90876
13023058,-6.40963,-18.11092,982.90876
13033058,-6.40963,-18.48357,983.43048
13043058,-6.63322,-17.88733,983.13235
13053058,-6.40963,-17.88733,982.98329
13063058,-6.55869,-18.25998,982.90876
13073058,-6.48416,-17.88733,982.61064
13083058,-6.18603,-18.03639,982.68517
13093058,-6.55869,-18.11092,982.98329
13103058,-6.48416,-18.11092,982.90876
13113058,-6.40963,-18.25998,983.05782
13123058,-6.33510,-18.03639,982.90876
13133058,-6.48416,-17.88733,982.83423
13143058,-6.55869,-18.18545,983.13235
13153058,-6.33510,-18.11092,982.75970
13163058,-6.40963,-18.18545,982.90876
13173058,-6.55869,-18.18545,982.98329
13183058,-6.70775,-18.48357,983.13235
13193058,-6.48416,-18.25998,983.13235
13203058,-6.70775,-18.25998,982.90876
13213058,-6.70775,-18.48357,983.28141
13223058,-6.63322,-18.18545,983.13235
13233058,-6.33510,-18.03639,982.53611
13243058,-6.55869,-18.03639,982.68517
13253058,-6.55869,-18.11092,983.13235
13263058,-6.33510,-17.73827,983.13235
13273058,-6.40963,-18.03639,982.83423
13283058,-6.55869,-18.18545,982.68517
13293058,-6.55869,-18.33451,983.28141
13303058,-6.26057,-18.55810,982.98329
13313058,-6.48416,-18.33451,982.68517
13323058,-6.55869,-17.81280,982.98329
13333058,-6.48416,-18.03639,982.98329
13343058,-6.48416,-18.03639,982.98329
13353058,-6.48416,-18.18545,982.90876
13363058,-6.48416,-18.25998,983.05782
13373058,-6.70775,-18.18545,982.75970
13383058,-6.63322,-18.33451,982.75970
13393058,-6.48416,-17.96186,982.61064
13403058,-6.48416,-18.18545,982.83423
13413058,-6.26057,-17.73827,983.05782
13423058,-6.11150,-17.88733,982.75970
13433058,-6.70775,-17.81280,982.90876
13443058,-6.40963,-18.03639,983.28141
13453058,-6.48416,-17.96186,983.13235
13463058,-6.55869,-17.88733,982.61064
13473058,-6.48416,-18.40904,983.05782
13483058,-6.63322,-17.96186,982.83423
13493058,-6.55869,-18.11092,982.75970
13503058,-6.55869,-18.18545,983.05782
13513058,-6.48416,-17.96186,983.05782
